Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT
Date,,,,,,,,,,,,,,,
2024-10-01,225.162109375,167.68609619140625,417.5552062988281,228.58616112900037,169.69729815329652,425.28716713975047,222.70355021092283,165.1770730146529,415.68921038228643,228.45677367012016,168.12418129125342,425.257391898111,63285000,18629500,19092900
2024-10-02,225.7294464111328,166.58091735839844,414.021728515625,226.31670960653594,168.14408312341,419.66933146547984,221.98686997976517,165.52553890950227,413.6048448503053,224.84356992020335,167.02895337262652,419.4310992466512,32880600,12745000,16582300
2024-10-03,224.6245880126953,166.4813690185547,413.4361267089844,225.75930638603796,167.17831564598703,416.4236768512481,222.28548343692833,164.64937549349344,411.20289276743637,224.09704443839323,165.09742671826152,414.51800085029123,34044200,11004300,13686400
2024-10-04,225.74935913085938,167.82546997070312,412.959716796875,226.9437971307691,168.8111613540106,416.62222309915006,223.09172964492672,166.23245134615243,411.87784259208183,226.8442543024003,168.60206977853457,415.1234652064613,37245100,11422100,19169700
2024-10-07,220.66302490234375,163.6736602783203,406.48828125,224.6444949275546,169.15964465933897,414.0018496365578,220.30469199255066,163.41479871287174,405.95229663138974,223.46000516495792,168.4029618733599,412.90013544904184,39505400,14034700,20919800
2024-10-08,224.72412109375,164.97793579101562,411.6197509765625,224.9331397600325,165.37620184985647,412.5626841012525,222.21579078164237,163.59399352017417,405.1285060524599,223.2609296773624,164.70910810033513,407.83814388099404,31855700,11723900,19229300
2024-10-09,228.47666931152344,162.3494415283203,414.3492431640625,228.68570318762718,165.5354940563339,417.247497795826,223.78849648056692,160.41789291037858,411.2127866111198,224.1866374402548,164.13661774956313,412.7611596791307,33591100,19666400,14974300
2024-10-10,227.97898864746094,162.4689178466797,412.7413024902344,228.43686442668115,163.5950013001064,414.24006019253727,226.11765609380726,160.9356352512682,410.0713450038319,226.72483093793394,161.40358838977565,412.1358625356339,28183500,12900500,13848400
2024-10-11,226.49588012695312,163.80308532714844,413.2177734375,228.34726430462075,164.54981709717626,414.02173524996044,226.28684626691359,161.7918835060304,410.1706424598083,228.23777327090536,162.6182684879368,413.03912198810315,31759200,10946000,14144900
